{{Mod
|id                               = SpellsAreDisabledUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SpellsAreDisabled
|mod_type                         = SpellsAreDisabled
|game_mode                        = 0
|stat_text                        = Your [[Spell|Spells]] are disabled
|stat1_id                         = your_spells_are_disabled
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
