{{Mod
|id                               = AddedColdDamageColdPenetration1
|mod_groups                       = AddedColdDamageColdPenetration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = AddedColdDamageColdPenetration
|stat_text                        = Adds (3-4) to (5-6) [[Cold Damage]]<br>Your [[Hit|Hits]] treat [[Cold Resistance]] as 10% higher than actual value
|stat1_id                         = global_minimum_added_cold_damage
|stat1_min                        = 3
|stat1_max                        = 4
|stat2_id                         = global_maximum_added_cold_damage
|stat2_min                        = 5
|stat2_max                        = 6
|stat3_id                         = base_reduce_enemy_cold_resistance_%
|stat3_min                        = -10
|stat3_max                        = -10
|tags                             = elemental_damage, damage, elemental, cold
}}
