{{Passive skill
|id                                  = endurance_charges_notable2425
|int_id                              = 64882
|name                                = Disciple of the Unyielding
|is_notable                          = True
|icon                                = EnduranceChargeNotable
|stat1_id                            = base_minimum_endurance_charges
|stat1_value                         = 1
|stat2_id                            = endurance_charge_on_kill_%
|stat2_value                         = 8
|stat3_id                            = damage_+%_per_endurance_charge
|stat3_value                         = 8
|stat_text                           = +1 to Minimum [[Endurance Charge|Endurance Charges]]<br>8% chance to gain an [[Endurance Charge]] on [[Kill]]<br>8% increased Damage per [[Endurance Charge]]
|connections                         = mastery_charges50,endurance_charges2424,mastery_charges50
}}
