{{Mod
|id                               = ReducedFreezeDurationInfluenceMaven__
|mod_groups                       = ReducedFreezeDuration
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of the Elevated Crusade
|mod_type                         = ReducedFreezeDurationMaven
|stat_text                        = (51-60)% reduced [[Freeze]] Duration on you<br>(7-4)% reduced Damage taken if you've been [[Freeze|Frozen]] [[Recently]]
|stat1_id                         = base_self_freeze_duration_-%
|stat1_min                        = 51
|stat1_max                        = 60
|stat2_id                         = damage_taken_+%_if_have_been_frozen_recently
|stat2_min                        = -7
|stat2_max                        = -4
|spawn_weight1_tag                = helmet_crusader
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
