{{Mod
|id                               = SynthesisImplicitChaosGemQuality2_
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_type                         = SocketedChaosGemQuality
|stat_text                        = +(4-6)% to Quality of [[Item socket|Socketed]] Chaos Gems
|stat1_id                         = local_socketed_chaos_gem_quality_+
|stat1_min                        = 4
|stat1_max                        = 6
|tags                             = gem
}}
