{{Mod
|id                               = TrapSpeedCooldownUber1
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Shaping
|mod_groups                       = TrapSupported
|granted_skill                    = SupportAdvancedTraps
|mod_type                         = TrapSpeedCooldownSupported
|game_mode                        = 0
|stat_text                        = (8-12)% increased [[Trap]] Throwing Speed<br>[[Item socket|Socketed]] Gems are Supported by [[Level]] 16 Advanced [[Trap|Traps]]
|stat1_id                         = trap_throwing_speed_+%
|stat1_min                        = 8
|stat1_max                        = 12
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_trap_cooldown
|stat2_min                        = 16
|stat2_max                        = 16
|spawn_weight1_tag                = gloves_shaper
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, influence_mod, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
