{{Mod
|id                               = V2ReducedManaReservationCorrupted_
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 13
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ReducedReservationForJewel
|stat_text                        = 2% increased Reservation Efficiency of [[Skill|Skills]]
|stat1_id                         = reservation_efficiency_-2%_per_1
|stat1_min                        = -1
|stat1_max                        = -1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
