{{Mod
|id                               = AddedPhysicalToMinionAttacksUnique__1
|mod_groups                       = AddedPhysicalToMinionAttacks
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedPhysicalToMinionAttacks
|stat_text                        = [[Minion|Minions]] deal (5-8) to (12-16) additional [[Attack]] [[Physical Damage]]
|stat1_id                         = minion_attack_minimum_added_physical_damage
|stat1_min                        = 5
|stat1_max                        = 8
|stat2_id                         = minion_attack_maximum_added_physical_damage
|stat2_min                        = 12
|stat2_max                        = 16
|tags                             = physical_damage, damage, physical, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
