{{Item
|rarity_id                               = normal
|name                                    = Honoured Tattoo of the Hatungo
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooSpecialSmallNode7
|stack_size                              = 10
|help_text                               = Right click this item then left click a valid Passive Skill. Maximum 50 Tattoos.
|stack_size_currency_tab                 = 5000
|tattoo_target                           = Small Attribute
|tattoo_tribe                            = 10
|description                             = 1% increased Reservation Efficiency of [[Skill|Skills]]
}}
