{{Mod
|id                               = VillageMarkedEnemyNoBlockSuppress
|mod_groups                       = MarkedEnemyNoBlockSuppress
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MarkedEnemyNoBlockSuppress
|stat_text                        = Your [[Hit|Hits]] against Marked Enemy cannot be Blocked or Suppressed
|stat1_id                         = hits_against_marked_enemy_cannot_be_blocked_or_suppressed
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant
}}
