{{Passive skill
|id                                  = affliction_notable_cremator
|int_id                              = 56696
|name                                = Cremator
|is_notable                          = True
|icon                                = IncreasedFireDamage
|stat1_id                            = fire_damage_+%
|stat1_value                         = 30
|stat2_id                            = ignited_enemies_explode_on_kill
|stat2_value                         = 1
|stat_text                           = 30% increased [[Fire Damage]]<br>Ignited Enemies Killed by your [[Hit|Hits]] are destroyed
}}
