{{Mod
|id                               = JewelExpansionJewelNodesLarge2___
|mod_groups                       = JewelExpansionJewelNodes
|domain                           = 21
|generation_type                  = 3
|required_level                   = 1
|name                             = of Possibility
|mod_type                         = JewelExpansionJewelNodes
|stat_text                        = 2 Added Passive [[Skill|Skills]] are Jewel [[Item socket|Sockets]]
|stat1_id                         = local_jewel_expansion_jewels_count
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
