{{Base item
|rarity_id                               = normal
|name                                    = A Stone Perfected
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = They gave the stone life. Over eons spent bathed in Corruption, that life evolved.
|drop_level                              = 50
|tags                                    = jewellery_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAStonePerfected
|stack_size                              = 5
|description                             = {{c|unique|Jewel}}<br>{{c|magic|Primordial}}<br>{{c|corrupted|[[1-2 Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
