{{Mod
|id                               = StrIntMasterAllResistancesCrafted
|mod_groups                       = AllResistances
|domain                           = 9
|generation_type                  = 2
|required_level                   = 20
|name                             = of the Prism
|mod_type                         = AllResistances
|stat_text                        = +(7-10)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 7
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
