{{Base item
|rarity_id                               = normal
|name                                    = The Sustenance
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = She took all she had and turned it into something she was craving.
|drop_level                              = 54
|tags                                    = jewellery_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheSustenance
|stack_size                              = 3
|description                             = Disabled
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
