{{Mod
|id                               = MercenaryModSingleProjAOE
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Infamy
|mod_groups                       = SingleProjAOE
|mod_type                         = SingleProjAOE
|game_mode                        = 0
|stat_text                        = 30% more Area of Effect with [[Bow]] [[Attack|Attacks]] that fire a single Projectile
|stat1_id                         = area_of_effect_+%_final_for_bow_attacks_firing_single_projectile
|stat1_min                        = 30
|stat1_max                        = 30
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
