{{Mod
|id                               = WeaponTreeSpellAddedCold2h5
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 82
|mod_type                         = WeaponTreeSpellAddedColdDamage
|stat_text                        = Adds 53 to 79 [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 53
|stat1_max                        = 53
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 79
|stat2_max                        = 79
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 125
|spawn_weight3_tag                = attack_staff
|spawn_weight3_value              = 0
|spawn_weight4_tag                = staff
|spawn_weight4_value              = 125
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
}}
