{{Mod
|id                               = SynthesisImplicitAvoidPoison1
|mod_groups                       = ChanceToAvoidPoison
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = ChanceToAvoidPoison
|stat_text                        = (14-16)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 14
|stat1_max                        = 16
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
