{{Mod
|id                               = FlaskFullRechargeOnTakeCrit1
|mod_groups                       = FlaskRechargeRate
|domain                           = 2
|generation_type                  = 1
|required_level                   = 12
|name                             = Avenger's
|mod_type                         = FlaskFullRechargeOnTakeCrit
|stat_text                        = Recharges 5 [[Charge|Charges]] when you take a [[Critical Strike]]
|stat1_id                         = local_recharge_on_take_crit
|stat1_min                        = 5
|stat1_max                        = 5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = flask, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
