{{Passive skill
|id                                  = atlas_keystone_cortex
|int_id                              = 29939
|name                                = Memento Mori
|flavour_text                        = When memories become twisted by a corrupted mind, history is rewritten, time after time.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = CortexKeystone
|stat1_id                            = atlas_keystone_uber_cortex
|stat1_value                         = 1
|stat2_id                            = cortex_map_monster_damage_taken_+%_final
|stat2_value                         = -70
|stat3_id                            = atlas_keystone_uber_cortex_display_bonus
|stat3_value                         = 1
|stat4_id                            = map_cortex_synthesis_mod_effect_+%
|stat4_value                         = 100
|stat_text                           = The Cortex is [[Level|level]] 85<br />Venarius' full power is unleashed in the Cortex<br>Venarius drops 3 additional Rare Items with 3 less common Synthesised Implicit Modifiers<br>100% increased effect of Additional Modifiers in the Cortex
}}
