{{Mod
|id                               = FacebreakerUnarmedMoreDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FacebreakerPhysicalUnarmedDamage
|mod_type                         = FacebreakerPhysicalUnarmedDamage
|game_mode                        = 0
|stat_text                        = (600-1000)% more [[Physical Damage]] with Unarmed Melee [[Attack|Attacks]]
|stat1_id                         = unique_facebreaker_unarmed_melee_physical_damage_+%_final
|stat1_min                        = 600
|stat1_max                        = 1000
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
