{{Mod
|id                               = SanctumResolveOnBossKill4
|domain                           = 7
|generation_type                  = 2
|required_level                   = 85
|name                             = of Triumph
|mod_groups                       = SanctumResolveOnBossKill
|mod_type                         = SanctumResolveOnBossKill
|game_mode                        = 0
|stat_text                        = Gain (27-30) Resolve when you [[Kill|kill]] a Boss
|stat1_id                         = sanctum_heal_on_boss_kill
|stat1_min                        = 27
|stat1_max                        = 30
|spawn_weight1_tag                = small_sanctum_relic
|spawn_weight1_value              = 50
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
