{{Passive skill
|id                                  = AscendancyCustomSlayer12
|int_id                              = 11154
|name                                = Fancy Foil
|ascendancy_class                    = Slayer
|is_notable                          = True
|icon                                = SupremeProdigy
|stat1_id                            = dexterity_+%
|stat1_value                         = 30
|stat2_id                            = cannot_be_frozen_with_dex_higher_than_int
|stat2_value                         = 1
|stat_text                           = 30% increased [[Dexterity]]<br>Cannot be [[Freeze|Frozen]] if [[Dexterity]] is higher than [[Intelligence]]
}}
