{{Mod
|id                               = V2MinionDamageCorrupted
|mod_groups                       = MinionDamage
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (4-5)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 4
|stat1_max                        = 5
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
