{{Passive skill
|id                                  = AscendancyOccultist10
|int_id                              = 37492
|name                                = Vile Bastion
|ascendancy_class                    = Occultist
|is_notable                          = True
|icon                                = SoulCatalyst (Occultist)
|stat1_id                            = occultist_stacking_energy_shield_regeneration_rate_per_minute_%_on_kill_for_4_seconds
|stat1_value                         = 120
|stat2_id                            = occultist_immune_to_stun_while_has_energy_shield
|stat2_value                         = 1
|stat3_id                            = base_energy_shield_regeneration_rate_per_minute
|stat3_value                         = 2400
|stat_text                           = Regenerate 2% of [[Energy Shield]] per second for each<br />Enemy you or your [[Minion|Minions]] have Killed Recently, up to 10% per second<br>Cannot Be Stunned while you have [[Energy Shield]]<br>Regenerate 40 [[Energy Shield]] per second
|connections                         = AscendancyOccultist5
}}
