{{Base item
|rarity_id                               = normal
|name                                    = The Wrath
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Daughter of catastrophe, mother of pain. Amongst the filth of Wraeclast, she wanders, and her wrath follows." - Quintoon the Returned
|drop_level                              = 23
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheWrath
|stack_size                              = 8
|description                             = {{c|currency|10x {{il|html=|Chaos Orb}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
