{{Item
|rarity_id                               = normal
|name                                    = Betrayal Scarab of Perpetuation
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The Syndicate has learned how to make their own scarabs...
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, betrayal_scarab, rare_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabBetrayal4
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Defeated Immortal Syndicate targets in Area have a 50% chance<br>to drop an additional Scarab
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 2
|map_fragment_bonus1                     = ScarabBetrayal3
}}
