{{Mod
|id                               = MapUberWeakMonstersImpaleOnHit
|domain                           = 37
|generation_type                  = 1
|required_level                   = 1
|name                             = Impaling
|mod_groups                       = MapMonstersImpaleOnHit
|mod_type                         = MapMonstersImpaleOnHit
|game_mode                        = 0
|stat_text                        = Monsters' [[Attack|Attacks]] have 60% chance to Impale on [[Hit]]
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 16
|stat1_max                        = 16
|stat2_id                         = map_item_drop_rarity_+%
|stat2_min                        = 9
|stat2_max                        = 9
|stat3_id                         = map_pack_size_+%
|stat3_min                        = 6
|stat3_max                        = 6
|stat4_id                         = map_monsters_chance_to_impale_%
|stat4_min                        = 60
|stat4_max                        = 60
|spawn_weight1_tag                = has_uber_map_prefix 
|spawn_weight1_value              = 96
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
