{{Item
|rarity_id                               = normal
|name                                    = Assassin's Gift
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = What matters are<br>the Marks of your life,<br>not its Longevity.
|drop_level                              = 66
|tags                                    = weapon_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAssassinsGift
|stack_size                              = 9
|description                             = {{c|unique|{{il|html=|Divinarius}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
}}
