{{Mod
|id                               = SynthesisImplicitLocalElementalPen2
|mod_groups                       = LocalAttackReduceEnemyElementalResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = LocalAttackReduceEnemyElementalResistance
|stat_text                        = [[Attack|Attacks]] with this Weapon Penetrate 3% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = local_elemental_penetration_%
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
