{{Passive skill
|id                                  = AscendancyJuggernaut11
|int_id                              = 1734
|name                                = Unflinching
|ascendancy_class                    = Juggernaut
|is_notable                          = True
|icon                                = Unflinching (Juggernaut)
|stat1_id                            = chance_to_gain_endurance_charge_when_hit_%
|stat1_value                         = 30
|stat2_id                            = max_endurance_charges
|stat2_value                         = 1
|stat3_id                            = gain_maximum_endurance_charges_on_endurance_charge_gained_%_chance
|stat3_value                         = 25
|stat4_id                            = gain_endurance_charge_per_second_if_have_been_hit_recently
|stat4_value                         = 1
|stat_text                           = 30% chance to gain an [[Endurance Charge]] when you are [[Hit]]<br>+1 to Maximum [[Endurance Charge|Endurance Charges]]<br>25% chance that if you would gain Endurance Charges, you instead gain up to maximum [[Endurance Charge|Endurance Charges]]<br>Gain 1 [[Endurance Charge]] every second if you've been [[Hit]] [[Recently]]
|connections                         = AscendancyJuggernaut1,AscendancyJuggernaut5,AscendancyJuggernaut2,AscendancyJuggernaut5
}}
