{{Mod
|id                               = SupportedByAddedFireDamageUnique__1_
|mod_groups                       = DisplaySocketedGemsGetAddedFireDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportAddedFireDamage
|mod_type                         = DisplaySocketedGemsGetAddedFireDamage
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Added Fire Damage Support|Level 10 Added Fire Damage]]
|stat1_id                         = local_display_socketed_gems_get_added_fire_damage_level
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
