{{Base item
|rarity_id                               = normal
|name                                    = The Forgotten Treasure
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Don't let fool's gold deceive you.
|drop_level                              = 80
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheForgottenTreasure
|stack_size                              = 6
|description                             = {{c|unique|[[Leather Belt]]}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
