{{Passive skill
|id                                  = affliction_notable_intensity
|int_id                              = 42145
|name                                = Intensity
|is_notable                          = True
|icon                                = AreaDmgNotable
|stat1_id                            = area_damage_+%
|stat1_value                         = 10
|stat2_id                            = maximum_intensify_stacks
|stat2_value                         = 1
|stat_text                           = 10% increased Area Damage<br>[[Spell|Spells]] which can gain Intensity have +1 to maximum Intensity
}}
