{{Mod
|id                               = AddedPhysicalDamageUniqueBootsStr3
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (2-5) to (7-10) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 2
|stat1_max                        = 5
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 7
|stat2_max                        = 10
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
