{{Base item
|rarity_id                               = normal
|name                                    = The Fox in the Brambles
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Hemmingsworth 6:10 - "And the fox gazed out from the brambles, unreachable and smirking."
|drop_level                              = 50
|tags                                    = armour_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheFoxInTheBrambles
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Bramblejack}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
