{{Mod
|id                               = IntMasterAddedColdDamageSpellsCrafted1
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 20
|name                             = Icy
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (7-9) to (13-15) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 7
|stat1_max                        = 9
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 13
|stat2_max                        = 15
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
