{{Base item
|rarity_id                               = normal
|name                                    = Man With Bear
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A stereotypical joke may lead to an unexpected bond.
|drop_level                              = 68
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardManWithBear
|stack_size                              = 3
|description                             = {{c|white|Bestiary Scarab}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
