{{Mod
|id                               = MeleeDamageTakenUniqueAmulet12
|mod_groups                       = MeleeDamageTaken
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MeleeDamageTaken
|stat_text                        = 60% increased Damage taken from Melee [[Attack|Attacks]]
|stat1_id                         = melee_damage_taken_+%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
