{{Base item
|rarity_id                               = normal
|name                                    = Incandescent Invitation
|class_id                                = MiscMapItem
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = From the corona of an ancient star,<br>the Searing Exarch seeks to master the Atlas.
|drop_level                              = 1
|drop_rarities_ids                       = normal, magic, rare
|tags                                    = primordial_map, default
|metadata_id                             = Metadata/Items/MapFragments/Primordial/CurrencyCleansingFireBossKey
|help_text                               = Open portals to Absence of Patience and Wisdom by using this item in a personal Map Device.
|implicit1                               = ChampionsFragment
}}
