{{Mod
|id                               = SynthesisImplicitBlindOnHit1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 65
|mod_groups                       = BlindOnHit
|mod_type                         = GlobalChanceToBlindOnHit
|game_mode                        = 0
|stat_text                        = (10-15)% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 15
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
