{{Mod
|id                               = AbyssMinionLifeRegenerationJewel1
|mod_groups                       = MinionLifeRegeneration
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Longevity
|mod_type                         = MinionLifeRegeneration
|stat_text                        = [[Minion|Minions]] Regenerate (0.4-0.8)% of [[Life]] per second
|stat1_id                         = minion_life_regeneration_rate_per_minute_%
|stat1_min                        = 24
|stat1_max                        = 48
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
