{{Mod
|id                               = SynthesisImplicitMinimumPowerCharge1
|mod_groups                       = MinimumPowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 55
|mod_type                         = MinimumPowerCharges
|stat_text                        = +(1-2) to Minimum [[Power Charge|Power Charges]]
|stat1_id                         = base_minimum_power_charges
|stat1_min                        = 1
|stat1_max                        = 2
|tags                             = power_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
