{{Mod
|id                               = EnemiesDestroyedOnKillUnique__1
|mod_groups                       = EnemiesDestroyedOnKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EnemiesDestroyedOnKill
|stat_text                        = Enemies Killed by your [[Hit|Hits]] are destroyed
|stat1_id                         = enemies_explode_on_kill
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
