{{Mod
|id                               = WeaponSocketedSpellsDamageFinalUber1
|mod_groups                       = SocketedSpellsDamageFinal
|domain                           = 1
|generation_type                  = 1
|required_level                   = 83
|name                             = The Shaper's
|granted_skill                    = DelveModSocketedSpellDamageFinal1h
|mod_type                         = SocketedSpellsDamageFinal
|stat_text                        = [[Item socket|Socketed]] [[Skill|Skills]] deal 40% more [[Spell Damage]]
|stat1_id                         = local_display_socketed_spell_damage_+%_final
|stat1_min                        = 40
|stat1_max                        = 40
|spawn_weight1_tag                = sceptre_shaper
|spawn_weight1_value              = 500
|spawn_weight2_tag                = rune_dagger_shaper
|spawn_weight2_value              = 500
|spawn_weight3_tag                = wand_shaper
|spawn_weight3_value              = 500
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = skill, caster_damage, damage, caster, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
