{{Passive skill
|id                                  = AscendancyNecromancer11
|int_id                              = 3554
|name                                = Essence Glutton
|ascendancy_class                    = Necromancer
|is_notable                          = True
|icon                                = EssenceGlutton (Necromancer)
|stat1_id                            = regenerate_%_maximum_mana_over_2_seconds_on_consuming_corpse
|stat1_value                         = 4
|stat2_id                            = regenerate_%_maximum_energy_shield_over_2_seconds_on_consuming_corpse
|stat2_value                         = 8
|stat3_id                            = necromancer_mana_regeneration_rate_per_minute_for_you_and_allies_per_nearby_corpse
|stat3_value                         = 300
|stat4_id                            = necromancer_energy_shield_regeneration_rate_per_minute_%_for_you_and_allies_per_nearby_corpse
|stat4_value                         = 12
|stat_text                           = Regenerate 4% of [[Mana]] over 2 seconds when you Consume a corpse<br>Regenerate 8% of [[Energy Shield]] over 2 seconds when you Consume a corpse<br>For each nearby corpse, you and nearby Allies Regenerate 5 Mana<br />per second, up to 50 per second<br>For each nearby corpse, you and nearby Allies Regenerate 0.2% of [[Energy Shield]] per second, up to 2.0% per second
|connections                         = AscendancyNecromancer5
}}
