{{Passive skill
|id                                  = affliction_notable_paralysis
|int_id                              = 31825
|name                                = Paralysis
|is_notable                          = True
|icon                                = IncreasedLightningDamage
|stat1_id                            = lightning_damage_+%
|stat1_value                         = 30
|stat2_id                            = lightning_skill_stun_threshold_+%
|stat2_value                         = 10
|stat3_id                            = chance_to_double_stun_duration_%
|stat3_value                         = 10
|stat_text                           = 30% increased [[Lightning Damage]]<br>Lightning [[Skill|Skills]] have 10% reduced Enemy Stun Threshold<br>10% chance to double Stun Duration
}}
