{{Mod
|id                               = LocalVaalProjectileSpeedUnique__1
|mod_groups                       = LocalVaalProjectileSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalProjectileSpeed
|mod_type                         = LocalVaalProjectileSpeed
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] have 80% increased Projectile Speed
|stat1_id                         = local_display_socketed_vaal_skills_projectile_speed_+%
|stat1_min                        = 80
|stat1_max                        = 80
|tags                             = speed, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
