{{Base item
|rarity_id                               = normal
|name                                    = Imperfect Memories
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Everything is eroded by time, but sometimes the edges that fade can make a wonderful memory even more beautiful.
|drop_level                              = 80
|tags                                    = jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardImperfectMemories
|stack_size                              = 5
|description                             = {{c|rare|Jewellery}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|enchanted|Three-Implicit}}<br>{{c|enchanted|Synthesised}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
