{{Passive skill
|id                                  = affliction_notable_storm's_hand
|int_id                              = 30622
|name                                = Storm's Hand
|is_notable                          = True
|icon                                = WandDamage
|stat1_id                            = wand_physical_damage_%_to_add_as_lightning
|stat1_value                         = 10
|stat2_id                            = wand_physical_damage_%_to_convert_to_lightning
|stat2_value                         = 25
|stat_text                           = Gain 10% of [[Axe|Wand]] [[Physical Damage]] as Extra [[Lightning Damage]]<br>25% of [[Axe|Wand]] [[Physical Damage]] converted to [[Lightning Damage]]
}}
