{{Item
|rarity_id                               = normal
|name                                    = Sulphite Scarab of Fumes
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = When the land itself is sick, even the very ground rots and spills forth.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, delve_scarab, rare_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabSulphiteNew3
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Sulphite found in Map Area releases Enraging Fumes<br>Monsters affected by Enraging Fumes have 500% increased Item Quantity<br>Sulphite in your maps is guarded by Monsters from the Azurite Mine
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 1
|map_fragment_bonus1                     = ScarabSulphiteNew3
}}
