{{Passive skill
|id                                  = affliction_notable_brutal_infamy
|int_id                              = 6553
|name                                = Brutal Infamy
|is_notable                          = True
|icon                                = TwoHandedMeleeDamage
|stat1_id                            = two_handed_melee_weapon_hit_and_ailment_damage_+%
|stat1_value                         = 20
|stat2_id                            = hit_and_ailment_damage_+%_vs_unique_enemies
|stat2_value                         = 40
|stat_text                           = [[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 20% increased Damage with [[Hit|Hits]] and Ailments<br>40% increased Damage with [[Hit|Hits]] and Ailments against Unique Enemies
}}
