{{Passive skill
|id                                  = banner_notable_2881_
|int_id                              = 13703
|name                                = Defiant Stand
|is_notable                          = True
|icon                                = BannerEffectNotable
|stat1_id                            = banner_gain_X_endurance_charges_when_placed_with_max_resources
|stat1_value                         = 3
|stat2_id                            = banner_gain_X_frenzy_charges_when_placed_with_max_resources
|stat2_value                         = 3
|stat_text                           = Gain 3 [[Endurance Charge|Endurance Charges]] when you consume maximum Valour to place a Banner<br>Gain 3 [[Frenzy Charge|Frenzy Charges]] when you consume maximum Valour to place a Banner
|connections                         = mastery_banner_276,banner_node_2891,banner_node_2884,mastery_banner_276
}}
