{{Passive skill
|id                                  = AscendancyPathfinder7
|int_id                              = 40631
|name                                = Flask Effect and Charges Gained
|ascendancy_class                    = Pathfinder
|icon                                = FlaskEffectElementalResistance (PathFinder)
|stat1_id                            = flask_effect_+%
|stat1_value                         = 5
|stat2_id                            = charges_gained_+%
|stat2_value                         = 10
|stat_text                           = Flasks applied to you have 5% increased Effect<br>10% increased Flask [[Charge|Charges]] gained
|connections                         = AscendancyPathfinder6,AscendancyPathfinder8,AscendancyPathfinder8
}}
