{{Item
|rarity_id                               = normal
|name                                    = Eldritch Exalted Orb
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 78
|tags                                    = all_eldritch_currency, all_eldritch_currency_except_lesser, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEldritchAddModToRare
|stack_size                              = 20
|description                             = If The Searing Exarch is dominant, add a prefix modifier<br>If The Eater of Worlds is dominant, add a suffix modifier
|help_text                               = Right click this item then left click a rare item with The Searing Exarch or The Eater of Worlds dominance to apply it. Rare items can have up to six random modifiers.
|stack_size_currency_tab                 = 5000
}}
