{{Passive skill
|id                                  = affliction_notable_empowered_envoy
|int_id                              = 17066
|name                                = Empowered Envoy
|is_notable                          = True
|icon                                = DmgHeraldSkillsNotable
|stat1_id                            = damage_+%_with_herald_skills
|stat1_value                         = 40
|stat2_id                            = herald_effect_on_self_+%
|stat2_value                         = 20
|stat_text                           = Herald [[Skill|Skills]] deal 40% increased Damage<br>20% increased Effect of Herald Buffs on you
}}
