{{Mod
|id                               = OnlySocketCorruptedGemsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = OnlySocketCorruptedGems
|mod_type                         = OnlySocketCorruptedGems
|game_mode                        = 0
|stat_text                        = You can only [[Item socket|Socket]] Corrupted Gems in this item
|stat1_id                         = local_can_only_socket_corrupted_gems
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = gem
}}
