{{Mod
|id                               = WeaponTreeSpellAddedChaos2
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 28
|mod_type                         = WeaponTreeSpellAddedChaosDamage
|stat_text                        = Adds 2 to 6 [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 6
|stat2_max                        = 6
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = attack_dagger
|spawn_weight3_value              = 0
|spawn_weight4_tag                = wand
|spawn_weight4_value              = 250
|spawn_weight5_tag                = sceptre
|spawn_weight5_value              = 250
|spawn_weight6_tag                = dagger
|spawn_weight6_value              = 250
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
}}
