{{Mod
|id                               = AnimalCharmElementalPenetration1
|mod_groups                       = AnimalCharmElementalPenetration
|domain                           = 35
|generation_type                  = 1
|required_level                   = 1
|name                             = Inquisitor's
|mod_type                         = AnimalCharmElementalPenetration
|stat_text                        = Damage Penetrates (3-4)% of Enemy [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_penetrate_elemental_resistances_%
|stat1_min                        = 3
|stat1_max                        = 4
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = str_animal_charm
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
