{{Mod
|id                               = ReducedElementalReflectTakenRingUber1
|mod_groups                       = ReflectedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|mod_type                         = ReducedElementalReflectTaken
|stat_text                        = You and your [[Minion|Minions]] take (45-31)% reduced Reflected [[Elemental Damage]]
|stat1_id                         = elemental_reflect_damage_taken_and_minion_elemental_reflect_damage_taken_+%
|stat1_min                        = -45
|stat1_max                        = -31
|spawn_weight1_tag                = ring_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
