{{Base item
|rarity_id                               = normal
|name                                    = The Standoff
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Sometimes your greatest enemy is the only one keeping you breathing.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheStandoff
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|Rustic Sash}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
