{{Mod
|id                               = PercentageIntelligenceUberMaven__
|mod_groups                       = PercentageIntelligence
|domain                           = 1
|generation_type                  = 2
|required_level                   = 93
|name                             = of Elevated Shaping
|mod_type                         = PercentageIntelligenceMaven
|stat_text                        = (9-12)% increased [[Intelligence]]<br>+1 to [[Level]] of [[Item socket|Socketed]] [[Intelligence]] Gems
|stat1_id                         = intelligence_+%
|stat1_min                        = 9
|stat1_max                        = 12
|stat2_id                         = local_socketed_intelligence_gem_level_+
|stat2_min                        = 1
|stat2_max                        = 1
|spawn_weight1_tag                = body_armour_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attribute, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
