{{Passive skill
|id                                  = affliction_notable_prismatic_dance
|int_id                              = 42313
|name                                = Prismatic Dance
|is_notable                          = True
|icon                                = EvasionNotable
|stat1_id                            = additional_maximum_all_elemental_resistances_%
|stat1_value                         = 1
|stat2_id                            = evasion_rating_+%
|stat2_value                         = 30
|stat_text                           = +1% to all maximum [[Elemental Resistance|Elemental Resistances]]<br>30% increased [[Evasion Rating]]
}}
