{{Passive skill
|id                                  = affliction_notable_overlord
|int_id                              = 13054
|name                                = Overlord
|is_notable                          = True
|icon                                = MaceandStaffDamage
|stat1_id                            = gain_fortify_for_x_seconds_on_melee_hit_with_mace_sceptre_staff
|stat1_value                         = 6
|stat2_id                            = damage_+%_with_maces_sceptres_staves
|stat2_value                         = 30
|stat_text                           = Melee [[Hit|Hits]] with Maces, Sceptres or [[Staff|Staves]] Fortify for 6 seconds<br>30% increased Damage with Maces, Sceptres or [[Staff|Staves]]
}}
